Cycle, Level, Address, Staked Balance
22, 182987, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 27745.628258 ꜩ
22, 185318, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 27842.106701 ꜩ
22, 186450, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 27874.266182 ꜩ
22, 186474, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 27874.266182 ꜩ
22, 188211, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 27906.425663 ꜩ
23, 188419, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 28213.433887 ꜩ
23, 188675, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 28213.433887 ꜩ
23, 194296, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 28309.598473 ꜩ
24, 199892, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 29267.182423 ꜩ
25, 204916, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 32630.962808 ꜩ
26, 213899, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 37436.052937 ꜩ
27, 225050, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 41583.173952 ꜩ
28, 230265, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 44216.820301 ꜩ
28, 235716, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 45444.638766 ꜩ
30, 246702, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 52784.717055 ꜩ
33, 271857, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 58553.915638 ꜩ
34, 280714, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 58553.915638 ꜩ
36, 303037, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 58553.915638 ꜩ
38, 313184, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 58964.753965 ꜩ
40, 328655, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 64996.374636 ꜩ
42, 347008, tz1hyVeFrkoDG1eFTaQZoYKC93hGUdRVes4D, 70486.137443 ꜩ
